
"Legs · Day 5 · Week 43 · Upper/Lower PPL","2026-03-28 1:00 pm","1:37 hr"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
2,-28.1,12
3,-28.1,12
"3. ISO Lateral Bench Press · Machine · 10 reps"
#,KG,REPS
1,40,10
2,40,10
3,40,10
"4. ISO lateral shoulder press · Machine · 10 reps"
#,KG,REPS
1,40,8
2,40,10
3,40,10
"5. Triceps Pushdowns · Cable · 12 reps · 1 dropset"
#,KG,REPS
1,10,12
2,15,15
3,21.25,8

"Lower · Day 2 · Week 36 · Upper/Lower PPL","2025-06-18 12:37 am","31 min"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
1,90,10
2,90,10
3,90,8
"2. Leg Extensions · Machine · 10 reps"
#,KG,REPS
1,20,12
2,20,12
3,20,12

"Pull · Day 4 · Week 36 · Upper/Lower PPL","2025-06-16 3:20 pm","1:09 hr"
"1. Incline Bench Press · Barbell · 10 reps"
#,KG,REPS
1,50,10
2,50,10
3,50,9
"2. Assisted Pull-Ups with Wide Grip · Machine · 8 reps"
#,KG,REPS
1,-21.8,10
2,-21.8,8
3,-21.8,6
"3. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,30,10
2,30,10
3,30,10
"4. ISO Lateral Low Row · Machine · 10 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,12
"5. Preacher Curls · Barbell · 12 reps · 1 dropset"
#,KG,REPS
1,17.5,10
2,17.5,10
3,17.5,10

"Upper · Standalone workout","2025-06-13 11:59 pm","49 min"
"1. Incline Bench Press · Barbell · 8 reps · 2 dropsets"
#,KG,REPS
1,50,10
2,50,10
"2. ISO lateral shoulder press · Machine · 10 reps"
#,KG,REPS
1,30,15
2,30,12
3,30,12
"3. ISO Lateral Bench Press · Machine · 10 reps"
#,KG,REPS
1,40,10
2,40,10
3,40,8
"4. Overhead Triceps Extensions · Dumbbells · 15 reps"
#,KG,REPS
1,8,12
2,8,12
3,8,12
"5. Curls · Dumbbells · 10 reps"
#,KG,REPS
1,20,15
2,20,15
3,20,12

"Push · Day 3 · Week 36 · Upper/Lower PPL","2025-06-09 3:10 pm","51 min"
"1. Bench Press · Barbell · 8 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,8
"2. Seated Dip · Machine · 10 reps"
#,KG,REPS
1,40,15
2,60,12
3,60,12
"3. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,10,10
2,15,6
3,10,15
4,10,12
"4. ISO Lateral Bench Press · Machine · 10 reps"
#,KG,REPS
1,30,12
2,30,12
3,30,11
"5. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,40,8
2,40,8
3,40,7

"Upper · Day 1 · Week 36 · Upper/Lower PPL","2025-06-02 3:35 pm","42 min"
"1. Incline Bench Press · Barbell · 8 reps · 2 dropsets"
#,KG,REPS
1,50,8
2,50,8
3,50,7
"2. Rows with Wide Grip · Cable · 10 reps"
#,KG,REPS
1,30,10
2,30,10
3,30,10
"3. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,20,12
2,20,10
3,20,8
"4. Preacher Curls · Barbell · 10 reps"
#,KG,REPS
1,17.5,10
2,17.5,11
3,17.5,10

"Standalone workout · Standalone workout","2025-05-30 11:20 pm","35 min"
"1. Rowing Machine · Machine"
#,KM,MINS
1,7,32:30

"Lower · Day 2 · Week 35 · Upper/Lower PPL","2025-05-30 2:51 pm","42 min"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
1,70,10
2,70,10
3,50,10
"2. Seated Calf Raises · Machine · 10 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,12
"3. Leg Extensions · Machine · 10 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,10
"4. Curls · Dumbbells · 10 reps"
#,KG,REPS
1,20,15
2,20,15
3,20,15

"Pull · Day 4 · Week 35 · Upper/Lower PPL","2025-05-28 2:59 pm","39 min"
"1. Assisted Pull-Ups with Wide Grip · Machine · 8 reps"
#,KG,REPS
1,-25,12
2,-25,10
3,-25,9
"2. Assisted Chest Dips · Machine · 10 reps"
